team_id,season,team_gen_id,team_name,team_class,team_oldest_pcs_link,pcs_link,team_pcs_id
411,1982,25650,Fangio - Assos - OM Trucks - Iveco,,https://www.procyclingstats.com/team/fangio-amerlinckx-campagnolo-1980,https://www.procyclingstats.com/team/fangio-assos-om-trucks-iveco-1982/overview/,2829.0
412,1981,25650,Fangio - Sapeco - Mavic,,https://www.procyclingstats.com/team/fangio-amerlinckx-campagnolo-1980,https://www.procyclingstats.com/team/fangio-sapeco-mavic-1981/overview/,2829.0
413,1980,25650,Fangio - Amerlinckx - Campagnolo,,https://www.procyclingstats.com/team/fangio-amerlinckx-campagnolo-1980,https://www.procyclingstats.com/team/fangio-amerlinckx-campagnolo-1980/overview/,2829.0
414,1981,70837,HB Alarmsystemen,,https://www.procyclingstats.com/team/hb-alarmsystemen-1981,https://www.procyclingstats.com/team/hb-alarmsystemen-1981/overview/,
415,1980,86186,HB Alarmsystemen,,https://www.procyclingstats.com/team/hb-alarmsystemen-1980,https://www.procyclingstats.com/team/hb-alarmsystemen-1980/overview/,
416,2000,45109,Farm Frites,TT1,https://www.procyclingstats.com/team/tvm-van-schilt-1988,https://www.procyclingstats.com/team/farm-frites-2000/overview/,1179.0
420,1996,45109,TVM - Farm Frites,TT1,https://www.procyclingstats.com/team/tvm-van-schilt-1988,https://www.procyclingstats.com/team/tvm-farm-frites-1996/overview/,1179.0
423,1993,45109,TVM - Bison Kit,TT1,https://www.procyclingstats.com/team/tvm-van-schilt-1988,https://www.procyclingstats.com/team/tvm-bison-kit-1993/overview/,1179.0
425,1991,45109,TVM - Sanyo,TT1,https://www.procyclingstats.com/team/tvm-van-schilt-1988,https://www.procyclingstats.com/team/tvm-sanyo-1991/overview/,1179.0
426,1990,45109,TVM - Toko,TT1,https://www.procyclingstats.com/team/tvm-van-schilt-1988,https://www.procyclingstats.com/team/tvm-1990/overview/,1179.0
427,1989,45109,TVM,TT1,https://www.procyclingstats.com/team/tvm-van-schilt-1988,https://www.procyclingstats.com/team/tvm-1989/overview/,1179.0
428,1988,45109,TVM - Van Schilt,TT1,https://www.procyclingstats.com/team/tvm-van-schilt-1988,https://www.procyclingstats.com/team/tvm-van-schilt-1988/overview/,1179.0
429,2011,22187,HTC - High Road,WT,https://www.procyclingstats.com/team/team-stuttgart-1989,https://www.procyclingstats.com/team/htc-high-road-2011/overview/,1216.0
430,2010,22187,Team HTC - Columbia,WT,https://www.procyclingstats.com/team/team-stuttgart-1989,https://www.procyclingstats.com/team/team-htc-columbia-2010/overview/,1216.0
431,2009,22187,Team Columbia - HTC,WT,https://www.procyclingstats.com/team/team-stuttgart-1989,https://www.procyclingstats.com/team/team-columbia-htc-2009/overview/,1216.0
432,2008,22187,Team High Road,PT,https://www.procyclingstats.com/team/team-stuttgart-1989,https://www.procyclingstats.com/team/team-high-road-2008/overview/,1216.0
433,2008,22187,Team Columbia,PT,https://www.procyclingstats.com/team/team-stuttgart-1989,https://www.procyclingstats.com/team/team-columbia-2008/overview/,1216.0
436,2005,22187,T-Mobile Team,PT,https://www.procyclingstats.com/team/team-stuttgart-1989,https://www.procyclingstats.com/team/t-mobile-team-2005/overview/,1216.0
437,2004,22187,T-Mobile Team,TT1,https://www.procyclingstats.com/team/team-stuttgart-1989,https://www.procyclingstats.com/team/t-mobile-team-2004/overview/,1216.0
446,1995,22187,Team Deutsche Telekom,TT1,https://www.procyclingstats.com/team/team-stuttgart-1989,https://www.procyclingstats.com/team/team-deutsche-telekom-1995/overview/,1216.0
449,1992,22187,Team Telekom,TT1,https://www.procyclingstats.com/team/team-stuttgart-1989,https://www.procyclingstats.com/team/team-telekom-1992/overview/,1216.0
450,1991,22187,Team Telekom,,https://www.procyclingstats.com/team/team-stuttgart-1989,https://www.procyclingstats.com/team/team-telekom-1991/overview/,1216.0
452,1989,22187,Team Stuttgart,,https://www.procyclingstats.com/team/team-stuttgart-1989,https://www.procyclingstats.com/team/team-stuttgart-1989/overview/,1216.0
453,1991,86422,Weinmann - Eddy Merckx,,https://www.procyclingstats.com/team/weinmann-1988,https://www.procyclingstats.com/team/weinmann-eddy-merckx-1991/overview/,2078.0
454,1990,86422,Weinmann - SMM - Ulster,,https://www.procyclingstats.com/team/weinmann-1988,https://www.procyclingstats.com/team/weinmann-1990/overview/,2078.0
455,1989,86422,Domex - Weinmann - Eddy Merckx,,https://www.procyclingstats.com/team/weinmann-1988,https://www.procyclingstats.com/team/domex-weinmann-eddy-merckx-1989/overview/,2078.0
456,1988,86422,Weinmann - La Suisse,,https://www.procyclingstats.com/team/weinmann-1988,https://www.procyclingstats.com/team/weinmann-1988/overview/,2078.0
458,1988,77267,Superconfex - Yoko - Opel,,https://www.procyclingstats.com/team/superconfex-1988,https://www.procyclingstats.com/team/superconfex-1988/overview/,3548.0
459,1987,50015,Superconfex - Kwantum - Yoko,,https://www.procyclingstats.com/team/superconfex-1987,https://www.procyclingstats.com/team/superconfex-1987/overview/,3606.0
460,1986,82068,Kwantum Hallen - Decosol,,https://www.procyclingstats.com/team/kwantum-hallen-decosol-1986,https://www.procyclingstats.com/team/kwantum-hallen-decosol-1986/overview/,3607.0
461,1985,64038,Kwantum - Decosol,,https://www.procyclingstats.com/team/kwantum-hallen-yoko-1984,https://www.procyclingstats.com/team/kwantum-hallen-yoko-1985/overview/,2023.0
462,1984,64038,Kwantum Hallen - Decossol,,https://www.procyclingstats.com/team/kwantum-hallen-yoko-1984,https://www.procyclingstats.com/team/kwantum-hallen-yoko-1984/overview/,2023.0
463,2016,40796,Tinkoff,WT,https://www.procyclingstats.com/team/team-home-jack-jones-1998,https://www.procyclingstats.com/team/tinkoff-2016/overview/,2884.0
465,2014,40796,Tinkoff - Saxo,WT,https://www.procyclingstats.com/team/team-home-jack-jones-1998,https://www.procyclingstats.com/team/tinkoff-saxo-2014/overview/,2884.0
466,2013,40796,Team Saxo - Tinkoff,WT,https://www.procyclingstats.com/team/team-home-jack-jones-1998,https://www.procyclingstats.com/team/team-saxo-tinkoff-2013/overview/,2884.0
467,2012,40796,Team Saxo Bank - Tinkoff Bank,WT,https://www.procyclingstats.com/team/team-home-jack-jones-1998,https://www.procyclingstats.com/team/team-saxo-bank-tinkoff-bank-2012/overview/,2884.0
468,2011,40796,Saxo Bank - Sungard,WT,https://www.procyclingstats.com/team/team-home-jack-jones-1998,https://www.procyclingstats.com/team/saxo-bank-sungard-2011/overview/,2884.0
470,2009,40796,Saxo Bank,WT,https://www.procyclingstats.com/team/team-home-jack-jones-1998,https://www.procyclingstats.com/team/saxo-bank-2009/overview/,2884.0
474,2005,40796,CSC ProTeam,PT,https://www.procyclingstats.com/team/team-home-jack-jones-1998,https://www.procyclingstats.com/team/csc-proteam-2005/overview/,2884.0
476,2003,40796,Team CSC,TT1,https://www.procyclingstats.com/team/team-home-jack-jones-1998,https://www.procyclingstats.com/team/csc-proteam-2003/overview/,2884.0
478,2001,40796,CSC ProTeam - Tiscali,TT1,https://www.procyclingstats.com/team/team-home-jack-jones-1998,https://www.procyclingstats.com/team/csc-proteam-tiscali-2001/overview/,2884.0
479,2000,40796,MemoryCard - Jack & Jones,,https://www.procyclingstats.com/team/team-home-jack-jones-1998,https://www.procyclingstats.com/team/memorycard-jack-jones-2000/overview/,2884.0
